date,stock_id,type,value,origin_name
2024-06-30,1504,EPS,0.78,基本每股盈餘
2024-06-30,1225,EPS,0.59,基本每股盈餘
2024-06-30,6461,EPS,-0.68,基本每股盈餘
2024-06-30,5538,EPS,1.05,基本每股盈餘
2024-06-30,6488,EPS,6.02,基本每股盈餘
2024-06-30,1219,EPS,0.18,基本每股盈餘
2024-06-30,1513,EPS,1.82,基本每股盈餘
2024-06-30,6505,EPS,0.28,基本每股盈餘
2024-06-30,1218,EPS,0.42,基本每股盈餘
2024-06-30,5536,EPS,6.58,基本每股盈餘
2024-06-30,6278,EPS,2.94,基本每股盈餘
2024-06-30,1256,EPS,2.72,基本每股盈餘
2024-06-30,1402,EPS,0.69,基本每股盈餘
2024-06-30,6277,EPS,0.88,基本每股盈餘
2024-06-30,6194,EPS,1.13,基本每股盈餘
2024-06-30,1312,EPS,-0.23,基本每股盈餘
2024-06-30,6214,EPS,1.87,基本每股盈餘
2024-06-30,6147,EPS,1.36,基本每股盈餘
2024-06-30,6227,EPS,1.8,基本每股盈餘
2024-06-30,1314,EPS,0.06,基本每股盈餘
2024-06-30,1310,EPS,0.01,基本每股盈餘
2024-06-30,6230,EPS,0.28,基本每股盈餘
2024-06-30,1309,EPS,-0.1,基本每股盈餘
2024-06-30,6146,EPS,3.34,基本每股盈餘
2024-06-30,6239,EPS,2.45,基本每股盈餘
2024-06-30,1308,EPS,-0.12,基本每股盈餘
2024-06-30,1319,EPS,1.76,基本每股盈餘
2024-06-30,6244,EPS,0.13,基本每股盈餘
2024-06-30,6510,EPS,2.04,基本每股盈餘
2024-06-30,6120,EPS,0.0,基本每股盈餘
2024-06-30,6245,EPS,1.27,基本每股盈餘
2024-06-30,6257,EPS,1.62,基本每股盈餘
2024-06-30,6005,EPS,0.58,基本每股盈餘
2024-06-30,1321,EPS,0.32,基本每股盈餘
2024-06-30,1305,EPS,0.16,基本每股盈餘
2024-06-30,1304,EPS,-0.23,基本每股盈餘
2024-06-30,5904,EPS,5.61,基本每股盈餘
2024-06-30,6269,EPS,0.25,基本每股盈餘
2024-06-30,1326,EPS,0.32,基本每股盈餘
2024-06-30,1303,EPS,0.22,基本每股盈餘
2024-06-30,6271,EPS,2.11,基本每股盈餘
2024-06-30,1301,EPS,0.21,基本每股盈餘
2024-06-30,5903,EPS,1.99,基本每股盈餘
2024-06-30,6274,EPS,2.55,基本每股盈餘
2024-06-30,1307,EPS,0.75,基本每股盈餘
2024-06-30,1217,EPS,0.24,基本每股盈餘
2024-06-30,1313,EPS,-0.43,基本每股盈餘
2024-06-30,1215,EPS,1.28,基本每股盈餘
2024-06-30,1216,EPS,1.04,基本每股盈餘
2024-06-30,1210,EPS,0.94,基本每股盈餘
2024-06-30,5533,EPS,0.11,基本每股盈餘
2024-06-30,5534,EPS,1.28,基本每股盈餘
2024-06-30,1516,EPS,0.27,基本每股盈餘
2024-06-30,1514,EPS,0.77,基本每股盈餘
2024-06-30,1102,EPS,1.27,基本每股盈餘
2024-06-30,8081,EPS,4.28,基本每股盈餘
2024-06-30,6533,EPS,-1.54,基本每股盈餘
2024-06-30,5531,EPS,-0.44,基本每股盈餘
2024-06-30,8210,EPS,3.77,基本每股盈餘
2024-06-30,8044,EPS,-0.75,基本每股盈餘
2024-06-30,1515,EPS,0.53,基本每股盈餘
2024-06-30,6803,EPS,4.6,基本每股盈餘
2024-06-30,6523,EPS,1.7,基本每股盈餘
2024-09-30,2063,EPS,0.12,基本每股盈餘
2024-09-30,2201,EPS,1.22,基本每股盈餘
2024-09-30,2543,EPS,0.96,基本每股盈餘
2024-09-30,1304,EPS,-0.62,基本每股盈餘
2024-09-30,3050,EPS,0.18,基本每股盈餘
2024-09-30,2103,EPS,0.43,基本每股盈餘
2024-09-30,6263,EPS,2.07,基本每股盈餘
2024-09-30,3105,EPS,0.54,基本每股盈餘
2024-09-30,3051,EPS,0.49,基本每股盈餘
2024-09-30,3052,EPS,0.24,基本每股盈餘
2024-09-30,3057,EPS,-0.4,基本每股盈餘
2024-09-30,1305,EPS,-0.71,基本每股盈餘
2024-09-30,3085,EPS,-0.57,基本每股盈餘
2024-09-30,2064,EPS,-0.23,基本每股盈餘
2024-09-30,2062,EPS,0.38,基本每股盈餘
2024-09-30,2542,EPS,0.89,基本每股盈餘
2024-09-30,3062,EPS,0.02,基本每股盈餘
2024-09-30,3049,EPS,-0.37,基本每股盈餘
2024-09-30,2514,EPS,0.91,基本每股盈餘
2024-09-30,3059,EPS,0.28,基本每股盈餘
2024-09-30,8081,EPS,4.83,基本每股盈餘
2024-09-30,2065,EPS,0.61,基本每股盈餘
