date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2026-05-15,MTX,202605/202607,106.0,134.0,105.0,134.0,0.0,0.0,8,0.0,0,position
2026-05-15,MTX,202605/202609,276.0,276.0,276.0,276.0,0.0,0.0,2,0.0,0,position
2026-05-15,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-15,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-15,MTX,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-15,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202605,41150.0,41223.0,40448.0,40520.0,-478.0,-1.17,189292,0.0,0,after_market
2026-05-18,MTX,202605W4,40648.0,41043.0,40647.0,41043.0,-29.0,-0.07,6,0.0,0,after_market
2026-05-18,MTX,202606,41282.0,41400.0,40654.0,40725.0,-451.0,-1.1,15056,0.0,0,after_market
2026-05-18,MTX,202607,41270.0,41353.0,40650.0,40691.0,-444.0,-1.08,465,0.0,0,after_market
2026-05-18,MTX,202609,41493.0,41591.0,40888.0,40908.0,-427.0,-1.03,88,0.0,0,after_market
2026-05-18,MTX,202612,41976.0,41976.0,41300.0,41300.0,-474.0,-1.13,87,0.0,0,after_market
2026-05-18,MTX,202703,42085.0,42154.0,41888.0,42154.0,-112.0,-0.26,8,0.0,0,after_market
2026-05-18,MTX,202605/202605W4,91.0,91.0,91.0,91.0,0.0,0.0,1,0.0,0,after_market
2026-05-18,MTX,202605/202606,179.0,208.0,179.0,200.0,0.0,0.0,28,0.0,0,after_market
2026-05-18,MTX,202605/202607,164.0,164.0,164.0,164.0,0.0,0.0,2,0.0,0,after_market
2026-05-18,MTX,202605/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202605W4/202606,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202606/202607,-40.0,-38.0,-40.0,-38.0,0.0,0.0,3,0.0,0,after_market
2026-05-18,MTX,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202606/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-18,MTX,202605,40170.0,40994.0,40148.0,40803.0,-195.0,-0.48,143438,40797.0,26038,position
2026-05-18,MTX,202605W4,40469.0,41053.0,40353.0,41053.0,-19.0,-0.05,8,40862.0,5,position
2026-05-18,MTX,202606,40414.0,41184.0,40351.0,40979.0,-197.0,-0.48,17598,40963.0,11814,position
2026-05-18,MTX,202607,40356.0,41128.0,40333.0,40941.0,-194.0,-0.47,485,40953.0,1170,position
2026-05-18,MTX,202609,40566.0,41333.0,40566.0,41300.0,-35.0,-0.08,82,41140.0,1905,position
2026-05-18,MTX,202612,41000.0,41761.0,41000.0,41638.0,-136.0,-0.33,80,41607.0,692,position
2026-05-18,MTX,202703,41905.0,42250.0,41900.0,42250.0,-16.0,-0.04,13,42144.0,235,position
2026-05-18,MTX,202605/202605W4,91.0,91.0,91.0,91.0,0.0,0.0,2,0.0,0,position
2026-05-18,MTX,202605/202606,194.0,202.0,155.0,168.0,0.0,0.0,357,0.0,0,position
2026-05-18,MTX,202605/202607,142.0,149.0,142.0,144.0,0.0,0.0,4,0.0,0,position
2026-05-18,MTX,202605/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202605W4/202606,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202606/202612,636.0,650.0,630.0,630.0,0.0,0.0,20,0.0,0,position
2026-05-18,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202607/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-18,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-19,MTX,202605,40956.0,41452.0,40523.0,40885.0,88.0,0.22,188296,0.0,0,after_market
2026-05-19,MTX,202605W4,41420.0,41420.0,40692.0,40918.0,56.0,0.14,6,0.0,0,after_market
2026-05-19,MTX,202606,41080.0,41620.0,40715.0,41077.0,114.0,0.28,23197,0.0,0,after_market
2026-05-19,MTX,202607,41100.0,41580.0,40700.0,41053.0,100.0,0.24,979,0.0,0,after_market
2026-05-19,MTX,202609,41275.0,41777.0,40917.0,40917.0,-223.0,-0.54,143,0.0,0,after_market
2026-05-19,MTX,202612,41701.0,42203.0,41382.0,41633.0,26.0,0.06,53,0.0,0,after_market
2026-05-19,MTX,202703,42300.0,42450.0,42000.0,42338.0,194.0,0.46,15,0.0,0,after_market
2026-05-19,MTX,202605/202606,169.0,189.0,156.0,180.0,0.0,0.0,48,0.0,0,after_market
2026-05-19,MTX,202605/202607,145.0,149.0,145.0,148.0,0.0,0.0,8,0.0,0,after_market
2026-05-19,MTX,202605/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-19,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-19,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-19,MTX,202605W4/202606,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-19,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
